order_id,order_date,product_id,qty,discount_percentage,unit_price,store_id
IN-38234,2022-07-29,P-8,4,0.7,99.99,IK-1
IN-38270,2022-10-29,P-15,3,0.6,999,IK-1
IN-38495,2022-02-16,P-10,4,0.6,6.99,IK-1
IN-38765,2022-12-04,P-4,4,0.7,79.99,IK-1
IN-39431,2023-05-30,P-17,4,0.5,279,IK-1
IN-39915,2023-07-09,P-13,2,0.4,699,IK-1
IN-40211,2022-01-18,P-11,3,0.5,24.99,IK-1
IN-40579,2023-05-12,P-17,2,0.3,279,IK-1
IN-40748,2022-08-26,P-3,4,0.6,199,IK-1
IN-41182,2022-02-23,P-5,2,0.4,89.99,IK-1
IN-41814,2023-02-12,P-6,2,0.5,24.99,IK-1
IN-42013,2022-09-01,P-2,1,0.2,29.99,IK-1
IN-43000,2023-08-21,P-16,3,0.6,129,IK-1
IN-43163,2022-07-02,P-20,2,0.4,199,IK-1
IN-43365,2023-11-24,P-16,2,0.5,129,IK-1
IN-43438,2019-10-15,P-20,1,0.2,199,IK-1
IN-43545,2020-02-13,P-25,1,0.4,35,IK-1
IN-43729,2021-10-14,P-12,4,0.5,69.99,IK-1
IN-44158,2021-06-29,P-12,4,0.6,69.99,IK-1
IN-45005,2021-06-22,P-22,1,0.2,159,IK-1
IN-45203,2019-10-16,P-7,4,0.7,59.99,IK-1
IN-45287,2020-07-27,P-7,2,0.5,59.99,IK-1
IN-46475,2021-01-25,P-20,3,0.6,199,IK-1
IN-46539,2020-09-22,P-23,1,0.3,9.99,IK-1
IN-46629,2021-07-14,P-18,3,0.4,45,IK-1
IN-47266,2019-09-10,P-13,1,0.3,699,IK-1
IN-47515,2020-05-03,P-10,4,0.5,6.99,IK-1
IN-47662,2019-04-02,P-1,3,0.4,59.99,IK-1
IN-47803,2020-03-10,P-14,3,0.6,29.99,IK-1
IN-48460,2020-02-05,P-18,4,0.6,45,IK-1
IN-48743,2021-01-07,P-4,2,0.3,79.99,IK-1
IN-48939,2020-04-19,P-7,3,0.4,59.99,IK-1
IN-2866,2021-01-17,P-33,3,0.6,49.99,IK-1
IN-3145,2022-06-01,P-22,2,0.5,159,IK-1
IN-9207,2023-09-10,P-97,3,0.4,139,IK-1
IN-9543,2021-10-02,P-168,4,0.7,199,IK-1
IN-10499,2023-05-15,P-9,3,0.5,249,IK-1
IN-11689,2021-06-05,P-137,3,0.6,79.99,IK-1
IN-11791,2022-06-29,P-159,4,0.6,149,IK-1
IN-12610,2021-06-29,P-158,2,0.3,29.99,IK-1
IN-12843,2022-03-16,P-103,3,0.4,59.99,IK-1
IN-13593,2022-10-23,P-108,3,0.5,5.99,IK-1
IN-18807,2023-04-17,P-139,3,0.6,29.99,IK-1
IN-20817,2021-07-12,P-16,1,0.3,129,IK-1
IN-21518,2023-02-05,P-114,3,0.4,99,IK-1
IN-23943,2022-12-08,P-85,3,0.5,29.99,IK-1
IN-24688,2021-03-05,P-66,2,0.5,5,IK-1
IN-32573,2023-06-08,P-173,4,0.6,249,IK-1
IN-32919,2022-10-16,P-109,4,0.6,179,IK-1
IN-33099,2022-11-02,P-78,2,0.3,329,IK-1
IN-34312,2022-03-02,P-146,4,0.6,249,IK-1
IN-36447,2022-01-23,P-25,2,0.3,35,IK-1
IN-36736,2023-01-21,P-9,1,0.3,249,IK-1
IN-37015,2022-01-09,P-17,1,0.3,279,IK-1
IN-37877,2023-11-18,P-4,2,0.4,79.99,IK-1
IN-38469,2022-10-01,P-25,3,0.5,35,IK-1
IN-39012,2023-05-09,P-5,4,0.5,89.99,IK-1
IN-40577,2023-03-02,P-3,4,0.6,199,IK-1
IN-41145,2022-05-26,P-15,2,0.4,999,IK-1
IN-41205,2023-08-15,P-1,2,0.5,59.99,IK-1
IN-41400,2023-07-24,P-5,3,0.4,89.99,IK-1
IN-42146,2023-01-03,P-21,2,0.3,129,IK-1
IN-42680,2023-10-28,P-20,4,0.5,199,IK-1
IN-43311,2022-06-21,P-5,2,0.5,89.99,IK-1
IN-43321,2022-10-19,P-9,4,0.7,249,IK-1
IN-43584,2020-10-30,P-21,4,0.6,129,IK-1
IN-43917,2019-04-12,P-13,3,0.5,699,IK-1
IN-44582,2021-02-05,P-19,3,0.5,89.99,IK-1
IN-44629,2019-04-23,P-6,2,0.3,24.99,IK-1
IN-44638,2021-07-20,P-16,4,0.5,129,IK-1
IN-45033,2021-08-16,P-18,2,0.3,45,IK-1
IN-45928,2021-05-25,P-15,3,0.5,999,IK-1
IN-46485,2021-08-02,P-12,4,0.6,69.99,IK-1
IN-46699,2021-02-14,P-23,2,0.4,9.99,IK-1
IN-46832,2019-09-01,P-10,3,0.6,6.99,IK-1
IN-47500,2019-02-13,P-8,2,0.4,99.99,IK-1
IN-47754,2020-08-09,P-5,2,0.4,89.99,IK-1
IN-48279,2019-12-25,P-2,2,0.3,29.99,IK-1
IN-48404,2021-02-21,P-8,3,0.5,99.99,IK-1
IN-48936,2019-01-06,P-9,2,0.5,249,IK-1
IN-49258,2020-05-19,P-6,2,0.5,24.99,IK-1
IN-49267,2019-03-18,P-12,3,0.6,69.99,IK-1
IN-49512,2020-11-13,P-4,4,0.7,79.99,IK-1
IN-1440,2022-03-10,P-82,4,0.5,199,IK-1
IN-3915,2021-03-31,P-102,4,0.7,4.99,IK-1
IN-5426,2022-07-31,P-95,4,0.5,399,IK-1
IN-7363,2021-03-12,P-34,2,0.3,125,IK-1
IN-8365,2022-10-28,P-102,2,0.5,4.99,IK-1
IN-12642,2022-12-01,P-20,3,0.5,199,IK-1
IN-14669,2021-03-30,P-133,2,0.4,159,IK-1
IN-15466,2022-02-21,P-1,4,0.5,59.99,IK-1
IN-16314,2021-06-13,P-32,1,0.2,89,IK-1
IN-16377,2021-10-14,P-96,1,0.3,249,IK-1
IN-17283,2023-05-09,P-35,1,0.4,14.99,IK-1
IN-17349,2023-10-17,P-1,3,0.6,59.99,IK-1
IN-17369,2022-08-05,P-76,3,0.5,59.99,IK-1
IN-17662,2021-06-19,P-38,3,0.5,14.99,IK-1
IN-17915,2021-06-14,P-48,3,0.4,199,IK-1
IN-18180,2023-10-16,P-52,2,0.4,349,IK-1
IN-18237,2021-03-20,P-130,2,0.5,149,IK-1
IN-18239,2021-08-21,P-95,4,0.7,399,IK-1
IN-18271,2023-07-09,P-92,4,0.7,19.99,IK-1
IN-19101,2023-05-28,P-141,3,0.4,39,IK-1
IN-20160,2022-12-02,P-59,2,0.3,49.99,IK-1
IN-20360,2022-07-27,P-77,1,0.3,9.99,IK-1
IN-20361,2021-12-16,P-24,3,0.4,49.99,IK-1
IN-20378,2022-02-13,P-91,3,0.6,119,IK-1
IN-20565,2023-03-08,P-6,3,0.5,24.99,IK-1
IN-20826,2021-12-10,P-140,3,0.5,129,IK-1
IN-21035,2022-07-24,P-7,1,0.4,59.99,IK-1
IN-21338,2021-08-05,P-174,3,0.4,19.99,IK-1
IN-22567,2022-06-28,P-83,3,0.5,15,IK-1
IN-23360,2022-09-14,P-129,1,0.3,349,IK-1
IN-24238,2022-05-26,P-33,1,0.3,49.99,IK-1
IN-24757,2023-08-27,P-107,2,0.4,199,IK-1
IN-24925,2021-05-09,P-81,1,0.4,999,IK-1
IN-25685,2021-04-03,P-81,2,0.3,999,IK-1
IN-25947,2023-07-02,P-130,2,0.3,149,IK-1
IN-27618,2022-07-01,P-94,3,0.4,299,IK-1
IN-28371,2021-01-15,P-137,1,0.2,79.99,IK-1
IN-28661,2023-03-01,P-122,4,0.5,49,IK-1
IN-29574,2022-04-22,P-96,3,0.6,249,IK-1
IN-29583,2021-02-04,P-80,3,0.6,99,IK-1
IN-30002,2021-01-02,P-85,1,0.2,29.99,IK-1
IN-30254,2023-01-04,P-163,2,0.4,59.99,IK-1
IN-30727,2021-01-02,P-163,4,0.6,59.99,IK-1
IN-32658,2023-02-02,P-121,3,0.4,129,IK-1
IN-33247,2022-01-06,P-171,2,0.5,39.99,IK-1
IN-33432,2022-11-12,P-121,1,0.3,129,IK-1
IN-33789,2022-10-11,P-144,4,0.7,149,IK-1
IN-33912,2022-11-02,P-113,3,0.4,199,IK-1
IN-34096,2023-01-14,P-114,2,0.3,99,IK-1
IN-34250,2023-09-15,P-134,3,0.6,29.99,IK-1
IN-34410,2022-08-13,P-137,2,0.3,79.99,IK-1
IN-35146,2023-10-23,P-84,4,0.6,499,IK-1
IN-35357,2022-02-02,P-66,3,0.4,5,IK-1
IN-38226,2023-08-19,P-4,1,0.2,79.99,IK-1
IN-39066,2022-03-14,P-7,3,0.6,59.99,IK-1
IN-40008,2022-07-01,P-23,1,0.2,9.99,IK-1
IN-40167,2023-03-06,P-22,1,0.4,159,IK-1
IN-40193,2023-05-01,P-16,3,0.4,129,IK-1
IN-40740,2022-03-06,P-24,1,0.4,49.99,IK-1
IN-40884,2023-04-28,P-5,1,0.3,89.99,IK-1
IN-41087,2023-04-14,P-3,2,0.3,199,IK-1
IN-41751,2023-10-01,P-25,2,0.5,35,IK-1
IN-42010,2022-04-11,P-15,2,0.3,999,IK-1
IN-42255,2023-12-10,P-11,2,0.5,24.99,IK-1
IN-42375,2023-10-24,P-25,3,0.5,35,IK-1
IN-43887,2021-01-07,P-13,2,0.5,699,IK-1
IN-43921,2020-11-10,P-1,2,0.4,59.99,IK-1
IN-45180,2021-06-17,P-11,2,0.5,24.99,IK-1
IN-45451,2021-06-26,P-25,4,0.7,35,IK-1
IN-45912,2019-07-01,P-12,3,0.4,69.99,IK-1
IN-46039,2019-08-01,P-11,1,0.4,24.99,IK-1
IN-46117,2020-05-17,P-2,2,0.4,29.99,IK-1
IN-46305,2020-09-16,P-1,2,0.5,59.99,IK-1
IN-46802,2021-06-30,P-2,1,0.2,29.99,IK-1
IN-47299,2020-11-15,P-7,4,0.5,59.99,IK-1
IN-47763,2021-03-02,P-22,2,0.4,159,IK-1
IN-48237,2021-08-27,P-6,4,0.6,24.99,IK-1
IN-48303,2019-03-07,P-3,1,0.3,199,IK-1
IN-48425,2020-07-28,P-16,3,0.6,129,IK-1
IN-48431,2019-04-12,P-10,1,0.4,6.99,IK-1
IN-49003,2020-06-14,P-16,1,0.3,129,IK-1
IN-49593,2021-03-28,P-22,1,0.3,159,IK-1
IN-50383,2021-07-06,P-9,2,0.4,249,IK-1
IN-593,2022-03-17,P-62,2,0.3,179,IK-1
IN-696,2022-12-19,P-45,2,0.5,59.99,IK-1
IN-1274,2023-01-19,P-100,1,0.2,12.99,IK-1
IN-2334,2023-01-24,P-9,2,0.4,249,IK-1
IN-2581,2021-07-15,P-131,4,0.7,699,IK-1
IN-4469,2023-10-07,P-27,1,0.4,149,IK-1
IN-5637,2022-10-11,P-7,2,0.4,59.99,IK-1
IN-5901,2023-08-04,P-117,2,0.4,19.99,IK-1
IN-6124,2021-03-21,P-4,2,0.5,79.99,IK-1
IN-6170,2021-02-03,P-125,2,0.4,69,IK-1
IN-6581,2023-03-11,P-166,2,0.3,49.99,IK-1
IN-7538,2023-04-14,P-161,1,0.2,149,IK-1
IN-7644,2021-11-27,P-89,3,0.6,599,IK-1
IN-8000,2021-08-03,P-122,1,0.2,49,IK-1
IN-8753,2021-07-20,P-99,4,0.6,99,IK-1
IN-9121,2021-06-06,P-152,2,0.3,59.99,IK-1
IN-9647,2022-04-14,P-23,3,0.4,9.99,IK-1
IN-10519,2022-10-01,P-87,1,0.2,99,IK-1
IN-11377,2021-02-07,P-53,4,0.6,69.99,IK-1
IN-11454,2022-11-18,P-87,1,0.2,99,IK-1
IN-14072,2022-03-31,P-103,1,0.4,59.99,IK-1
IN-14153,2022-01-23,P-110,2,0.3,299,IK-1
IN-14697,2021-11-03,P-161,2,0.4,149,IK-1
IN-14831,2022-04-14,P-16,1,0.3,129,IK-1
IN-15166,2023-02-13,P-151,2,0.4,159,IK-1
IN-15468,2022-05-16,P-35,1,0.3,14.99,IK-1
IN-15838,2022-02-09,P-76,2,0.3,59.99,IK-1
IN-16139,2022-09-09,P-155,4,0.7,699,IK-1
IN-16831,2022-09-05,P-8,1,0.2,99.99,IK-1
IN-16887,2021-03-14,P-174,4,0.6,19.99,IK-1
IN-17255,2023-06-30,P-162,3,0.4,19.99,IK-1
IN-17368,2021-10-11,P-11,4,0.7,24.99,IK-1
IN-17556,2023-11-30,P-18,1,0.4,45,IK-1
IN-17911,2021-09-07,P-35,3,0.4,14.99,IK-1
IN-20343,2023-03-25,P-14,2,0.4,29.99,IK-1
IN-20350,2023-05-16,P-78,1,0.2,329,IK-1
IN-20698,2021-07-06,P-173,2,0.5,249,IK-1
IN-20910,2022-02-16,P-49,4,0.6,229,IK-1
IN-21619,2022-11-09,P-34,3,0.6,125,IK-1
IN-22247,2021-02-25,P-127,2,0.4,29.99,IK-1
IN-22254,2021-05-15,P-44,4,0.6,59.99,IK-1
IN-22940,2021-08-04,P-157,2,0.4,9.99,IK-1
IN-25668,2021-11-07,P-116,3,0.4,149,IK-1
IN-26117,2022-06-10,P-102,3,0.6,4.99,IK-1
IN-26259,2021-10-09,P-162,1,0.2,19.99,IK-1
IN-26411,2021-05-01,P-138,4,0.6,199,IK-1
IN-26425,2021-01-28,P-61,1,0.4,9.99,IK-1
IN-26624,2022-02-17,P-91,2,0.5,119,IK-1
IN-27199,2022-06-23,P-160,3,0.4,149,IK-1
IN-27232,2022-08-08,P-5,3,0.4,89.99,IK-1
IN-27443,2023-01-01,P-100,2,0.3,12.99,IK-1
IN-27890,2022-12-28,P-147,4,0.5,199,IK-1
IN-28080,2022-05-01,P-21,4,0.6,129,IK-1
IN-28313,2021-06-17,P-109,3,0.6,179,IK-1
IN-28821,2023-03-13,P-107,4,0.5,199,IK-1
IN-29026,2022-06-28,P-172,4,0.5,899,IK-1
IN-29789,2023-05-23,P-62,1,0.2,179,IK-1
IN-30228,2023-07-24,P-17,1,0.3,279,IK-1
IN-30351,2023-03-28,P-17,3,0.6,279,IK-1
IN-31528,2023-01-16,P-124,2,0.5,299,IK-1
IN-31729,2022-05-01,P-74,1,0.4,39.99,IK-1
IN-31940,2022-08-23,P-6,3,0.4,24.99,IK-1
IN-32001,2022-09-05,P-13,3,0.6,699,IK-1
IN-32435,2023-04-15,P-122,4,0.5,49,IK-1
IN-34994,2022-10-15,P-71,4,0.7,99,IK-1
IN-35580,2023-04-05,P-89,1,0.3,599,IK-1
IN-35581,2022-01-21,P-6,4,0.7,24.99,IK-1
IN-35715,2023-03-30,P-43,2,0.5,175,IK-1
IN-35850,2023-01-07,P-110,3,0.4,299,IK-1
IN-36277,2022-08-23,P-79,1,0.3,159,IK-1
IN-36941,2023-09-30,P-11,3,0.6,24.99,IK-1
IN-37095,2022-12-24,P-1,2,0.3,59.99,IK-1
IN-37112,2022-04-29,P-2,1,0.4,29.99,IK-1
IN-37779,2022-05-19,P-11,1,0.2,24.99,IK-1
IN-38228,2023-08-23,P-18,1,0.4,45,IK-1
IN-38251,2023-11-01,P-19,4,0.7,89.99,IK-1
IN-38844,2023-12-18,P-24,2,0.4,49.99,IK-1
IN-39810,2022-04-08,P-13,2,0.4,699,IK-1
IN-39903,2023-08-30,P-9,3,0.4,249,IK-1
IN-40181,2022-02-14,P-9,1,0.4,249,IK-1
IN-40754,2023-12-16,P-13,2,0.5,699,IK-1
IN-41993,2023-05-01,P-6,4,0.6,24.99,IK-1
IN-42664,2022-01-17,P-1,1,0.2,59.99,IK-1
IN-43146,2023-07-20,P-1,3,0.4,59.99,IK-1
IN-43167,2022-09-13,P-1,1,0.3,59.99,IK-1
IN-43179,2023-10-06,P-4,1,0.4,79.99,IK-1
IN-44876,2020-11-14,P-9,4,0.6,249,IK-1
IN-45278,2019-04-16,P-7,4,0.6,59.99,IK-1
IN-45553,2019-10-28,P-16,2,0.3,129,IK-1
IN-46083,2021-12-17,P-2,4,0.6,29.99,IK-1
IN-46460,2021-08-24,P-2,3,0.4,29.99,IK-1
IN-46996,2021-05-23,P-8,4,0.7,99.99,IK-1
IN-47047,2021-08-21,P-8,4,0.6,99.99,IK-1
IN-47129,2020-09-14,P-16,1,0.3,129,IK-1
IN-47692,2021-11-24,P-10,2,0.3,6.99,IK-1
IN-47862,2021-11-19,P-23,1,0.4,9.99,IK-1
IN-48139,2020-10-04,P-10,3,0.5,6.99,IK-1
IN-48164,2019-01-07,P-2,1,0.4,29.99,IK-1
IN-48211,2019-01-22,P-13,1,0.3,699,IK-1
IN-48344,2019-06-18,P-12,1,0.4,69.99,IK-1
IN-48859,2021-10-23,P-10,1,0.3,6.99,IK-1
IN-49694,2019-04-28,P-2,3,0.5,29.99,IK-1
IN-157,2022-09-01,P-110,2,0.5,299,IK-1
IN-3563,2023-02-28,P-53,1,0.4,69.99,IK-1
IN-3733,2023-05-16,P-69,3,0.4,5.99,IK-1
IN-4373,2021-04-07,P-112,1,0.2,29.99,IK-1
IN-4502,2023-04-20,P-54,1,0.4,39.99,IK-1
IN-4990,2023-08-23,P-163,4,0.6,59.99,IK-1
IN-7653,2022-07-28,P-110,4,0.7,299,IK-1
IN-8045,2022-06-27,P-94,2,0.5,299,IK-1
IN-10310,2023-02-14,P-50,4,0.5,199,IK-1
IN-12367,2022-11-09,P-82,4,0.6,199,IK-1
IN-13052,2022-08-24,P-44,4,0.5,59.99,IK-1
IN-15548,2022-11-03,P-14,4,0.7,29.99,IK-1
IN-16517,2023-01-26,P-148,2,0.3,999,IK-1
IN-22377,2021-03-27,P-113,4,0.7,199,IK-1
IN-22783,2022-03-07,P-123,3,0.6,249,IK-1
IN-26442,2023-07-28,P-164,3,0.4,39.99,IK-1
IN-29241,2023-01-29,P-165,1,0.2,179,IK-1
IN-29414,2023-02-01,P-14,4,0.7,29.99,IK-1
IN-30493,2021-11-18,P-21,1,0.4,129,IK-1
IN-31929,2022-06-08,P-81,3,0.6,999,IK-1
IN-32095,2022-05-23,P-103,2,0.4,59.99,IK-1
IN-32532,2023-04-06,P-154,1,0.2,29.99,IK-1
IN-32718,2023-04-10,P-37,1,0.3,129,IK-1
IN-33582,2023-05-28,P-62,2,0.3,179,IK-1
IN-33629,2022-12-19,P-33,2,0.5,49.99,IK-1
IN-34093,2023-03-05,P-27,4,0.5,149,IK-1
IN-34114,2023-01-12,P-46,2,0.3,24.99,IK-1
IN-34277,2022-01-28,P-32,1,0.2,89,IK-1
IN-35001,2023-06-09,P-27,3,0.4,149,IK-1
IN-35069,2023-09-09,P-30,3,0.5,24.99,IK-1
IN-35515,2022-08-09,P-134,3,0.5,29.99,IK-1
IN-36446,2023-05-17,P-4,2,0.3,79.99,IK-1
IN-36618,2023-06-09,P-5,3,0.5,89.99,IK-1
IN-36636,2023-07-09,P-4,1,0.3,79.99,IK-1
IN-36971,2023-11-02,P-1,2,0.4,59.99,IK-1
IN-37577,2023-04-10,P-15,3,0.6,999,IK-1
IN-37762,2022-04-23,P-18,1,0.4,45,IK-1
IN-38044,2023-07-09,P-18,3,0.5,45,IK-1
IN-38073,2022-06-08,P-8,1,0.3,99.99,IK-1
IN-38137,2022-01-16,P-9,2,0.4,249,IK-1
IN-38725,2023-08-10,P-22,4,0.7,159,IK-1
IN-39030,2023-06-03,P-8,2,0.3,99.99,IK-1
IN-39061,2022-08-05,P-23,2,0.5,9.99,IK-1
IN-39097,2023-05-01,P-11,1,0.3,24.99,IK-1
IN-39875,2022-01-22,P-20,4,0.7,199,IK-1
IN-40114,2022-01-27,P-17,1,0.4,279,IK-1
IN-40459,2023-02-28,P-3,4,0.7,199,IK-1
IN-41045,2022-11-23,P-15,1,0.4,999,IK-1
IN-41186,2023-02-27,P-6,1,0.2,24.99,IK-1
IN-41462,2022-06-28,P-10,3,0.6,6.99,IK-1
IN-41562,2022-05-30,P-21,1,0.2,129,IK-1
IN-41726,2022-11-09,P-12,4,0.5,69.99,IK-1
IN-42167,2023-06-11,P-7,2,0.5,59.99,IK-1
IN-42985,2022-02-10,P-21,3,0.6,129,IK-1
IN-43160,2023-09-01,P-24,3,0.4,49.99,IK-1
IN-43250,2022-03-26,P-6,4,0.6,24.99,IK-1
IN-43891,2019-12-15,P-19,1,0.3,89.99,IK-1
IN-44721,2021-11-24,P-2,4,0.7,29.99,IK-1
IN-45299,2019-03-14,P-4,3,0.6,79.99,IK-1
IN-45453,2019-05-03,P-21,2,0.5,129,IK-1
IN-45620,2019-10-16,P-12,3,0.6,69.99,IK-1
IN-45990,2019-05-08,P-1,3,0.6,59.99,IK-1
IN-46404,2019-03-19,P-11,4,0.5,24.99,IK-1
IN-46770,2019-07-26,P-14,3,0.6,29.99,IK-1
IN-47387,2020-12-29,P-21,1,0.3,129,IK-1
IN-47778,2021-10-24,P-10,3,0.4,6.99,IK-1
IN-47895,2021-09-28,P-17,2,0.3,279,IK-1
IN-47945,2020-04-28,P-9,2,0.3,249,IK-1
IN-48507,2020-07-18,P-16,2,0.4,129,IK-1
IN-48594,2021-12-29,P-10,4,0.5,6.99,IK-1
IN-49277,2020-11-22,P-16,4,0.5,129,IK-1
IN-49767,2019-11-19,P-21,4,0.6,129,IK-1
IN-50030,2021-02-06,P-24,2,0.3,49.99,IK-1
IN-50185,2020-07-16,P-25,1,0.4,35,IK-1
IN-50376,2021-10-20,P-5,1,0.4,89.99,IK-1
IN-50385,2021-10-10,P-2,1,0.3,29.99,IK-1
IN-50423,2019-05-28,P-8,3,0.5,99.99,IK-1
IN-711,2021-09-26,P-101,3,0.4,35,IK-1
IN-1211,2022-04-15,P-130,2,0.4,149,IK-1
IN-1959,2021-05-10,P-107,2,0.4,199,IK-1
IN-5892,2021-03-17,P-137,1,0.4,79.99,IK-1
IN-7634,2022-02-04,P-164,3,0.6,39.99,IK-1
IN-7966,2021-04-01,P-111,3,0.4,89,IK-1
IN-9963,2021-08-14,P-7,1,0.2,59.99,IK-1
IN-11599,2022-07-07,P-39,3,0.5,99,IK-1
IN-12868,2023-09-09,P-77,3,0.5,9.99,IK-1
IN-17386,2023-02-28,P-144,1,0.4,149,IK-1
IN-17411,2022-01-02,P-115,2,0.3,79.99,IK-1
IN-18355,2022-09-12,P-11,4,0.6,24.99,IK-1
IN-18430,2021-05-18,P-169,3,0.6,89,IK-1
IN-18445,2021-07-28,P-61,2,0.4,9.99,IK-1
IN-19362,2021-04-15,P-37,1,0.2,129,IK-1
IN-20331,2022-05-25,P-9,4,0.6,249,IK-1
IN-21330,2022-06-20,P-131,3,0.4,699,IK-1
IN-21366,2023-05-25,P-12,1,0.3,69.99,IK-1
IN-22027,2023-03-15,P-15,4,0.6,999,IK-1
IN-22622,2022-10-21,P-164,1,0.2,39.99,IK-1
IN-24156,2023-01-09,P-63,3,0.5,7.99,IK-1
IN-24589,2022-05-17,P-120,1,0.3,129,IK-1
IN-24702,2022-02-20,P-31,2,0.3,19.99,IK-1
IN-24927,2022-08-31,P-42,1,0.2,89.99,IK-1
IN-25704,2021-06-17,P-159,2,0.3,149,IK-1
IN-25922,2021-09-10,P-10,2,0.3,6.99,IK-1
IN-28602,2021-05-23,P-65,1,0.2,10,IK-1
IN-32038,2022-06-23,P-4,2,0.3,79.99,IK-1
IN-32443,2022-10-29,P-5,3,0.6,89.99,IK-1
IN-32756,2022-04-03,P-14,4,0.7,29.99,IK-1
IN-32885,2022-09-08,P-155,3,0.4,699,IK-1
IN-33026,2022-02-04,P-62,4,0.7,179,IK-1
IN-34385,2023-01-05,P-61,4,0.7,9.99,IK-1
IN-34896,2022-07-10,P-115,1,0.4,79.99,IK-1
IN-35532,2023-05-01,P-144,2,0.3,149,IK-1
IN-36224,2022-07-08,P-127,2,0.4,29.99,IK-1
IN-36229,2023-07-25,P-68,3,0.5,29.99,IK-1
IN-36601,2022-01-17,P-25,2,0.5,35,IK-1
IN-36948,2022-07-26,P-7,2,0.5,59.99,IK-1
IN-36984,2023-05-24,P-11,2,0.5,24.99,IK-1
IN-37148,2023-03-21,P-23,2,0.5,9.99,IK-1
IN-37459,2022-04-24,P-13,4,0.6,699,IK-1
IN-37544,2022-03-14,P-25,4,0.6,35,IK-1
IN-37550,2023-12-13,P-23,4,0.7,9.99,IK-1
IN-38364,2022-01-16,P-23,2,0.5,9.99,IK-1
IN-38604,2022-12-28,P-8,2,0.3,99.99,IK-1
IN-39593,2022-05-18,P-13,1,0.2,699,IK-1
IN-39860,2023-01-14,P-19,4,0.7,89.99,IK-1
IN-40855,2022-05-18,P-9,4,0.5,249,IK-1
IN-41298,2023-04-18,P-19,3,0.6,89.99,IK-1
IN-41985,2023-07-11,P-25,2,0.4,35,IK-1
IN-42389,2023-03-16,P-1,3,0.6,59.99,IK-1
IN-42430,2022-09-20,P-4,4,0.5,79.99,IK-1
IN-42702,2022-02-05,P-23,3,0.6,9.99,IK-1
IN-43157,2022-07-31,P-8,4,0.5,99.99,IK-1
IN-43324,2023-02-22,P-2,2,0.5,29.99,IK-1
IN-43771,2019-06-30,P-9,1,0.3,249,IK-1
IN-43790,2020-02-16,P-6,2,0.3,24.99,IK-1
IN-44273,2021-11-17,P-10,1,0.2,6.99,IK-1
IN-44323,2019-05-20,P-6,4,0.7,24.99,IK-1
IN-44602,2019-11-09,P-11,4,0.5,24.99,IK-1
